Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
13061,2803,2538,,,म्रियतेर्लुङ्‌लिङोश्च ।,म्रियते ५/१ लुङ्‌लिङोः ७/२ च ०/०
13062,2422,2734,अतिदेशः,,पूर्ववत् सनः ।,पूर्ववत् ०/० सनः ५/१
13063,556,2240,अतिदेशः,,आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य ।,आम्प्रत्ययवत् ०/० कृञः ६/१ अनुप्रयोगस्य ६/१
13064,2563,2735,,,प्रोपाभ्यां युजेरयज्ञपात्रेषु ।,प्रोपाभ्याम् ५/२ युजेः ५/१ अयज्ञपात्रेषु ७/३
13065,3619,2736,,,समः क्ष्णुवः ।,समः ५/१ क्ष्णुवः ५/१
13066,2682,2737,,,भुजोऽनवने ।,भुजः ५/१ अनवने ७/१
13067,1583,2738,,,णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने ।,णेः ५/१ अणौ ७/१ यत् १/१ कर्म १/१ णौ ७/१ चेत् ०/० सः १/१ कर्ता १/१ अनाध्याने ७/१
13068,2678,2594,,,भीस्म्योर्हेतुभये ।,भीस्म्योः ६/२ हेतुभये ७/१
13069,1303,2739,,,गृधिवञ्च्योः प्रलम्भने ।,गृधिवञ्च्योः ६/२ प्रलम्भने ७/१
13070,3001,2592,,,लियः सम्माननशालिनीकरणयोश्च ।,लियः ५/१ सम्माननशालिनीकरणयोः ७/२ च ०/०
13071,2780,2740,,,मिथ्योपपदात् कृञोऽभ्यासे ।,मिथ्योपपदात् ५/१ कृञः ५/१ अभ्यासे ७/१
13072,3876,2158,,,स्वरितञितः कर्त्रभिप्राये क्रियाफले ।,स्वरितञितः ५/१ कर्त्रभिप्राये ७/१ क्रियाफले ७/१
13073,292,2741,,,अपाद्वदः ।,अपात् ५/१ वदः ५/१
13074,1580,2564,,,णिचश्च ।,णिचः ५/१ च ०/०
13075,3651,2742,,,समुदाङ्भ्यो यमोऽग्रन्थे ।,समुदाङ्भ्यः ५/३ यमः ५/१ अग्रन्थे ७/१
13076,210,2743,,,अनुपसर्गाज्ज्ञः ।,अनुपसर्गात् ५/१ ज्ञः ५/१
13077,3253,2744,,,विभाषोपपदेन प्रतीयमाने ।,विभाषा १/१ उपपदेन ३/१ प्रतीयमाने ७/१
13078,3428,2159,,,शेषात् कर्तरि परस्मैपदम् ।,शेषात् ५/१ कर्तरि ७/१ परस्मैपदम् १/१
13079,209,2745,,,अनुपराभ्यां कृञः ।,अनुपराभ्याम् ५/२ कृञः ५/१
13080,311,2746,,,अभिप्रत्यतिभ्यः क्षिपः ।,अभिप्रत्यतिभ्यः ५/३ क्षिपः ५/१
13081,2543,2747,,,प्राद्वहः ।,प्रात् ५/१ वहः ५/१
13082,2325,2748,,,परेर्मृषः ।,परेः ५/१ मृषः ५/१
13083,3330,2749,,,व्याङ्परिभ्यो रमः ।,व्याङ्परिभ्यः ५/३ रमः ५/१
13084,797,2750,,,उपाच्च ।,उपात् ५/१ च ०/०
13085,3242,2751,,,विभाषाऽकर्मकात् ।,विभाषा १/१ अकर्मकात् ५/१
13086,2626,2752,,,बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः ।,बुधयुधनशजनेङ्-प्रुद्रुस्रुभ्यः ५/३ णेः ५/१
13087,2166,2753,,,निगरणचलनार्थेभ्यः ।,निगरणचलनार्थेभ्यः ५/१ च ०/०
13088,83,2754,,,अणावकर्मकाच्चित्तवत्कर्तृकात् ।,अणौ ७/१ अकर्मकात् ५/१ चित्तवत्कर्तृकात् ५/१
13089,2042,2755,,,न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः ।,न ०/० पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः ५/१
13090,3100,2669,,,वा क्यषः ।,वा ०/० क्यषः ५/१
13091,1926,2345,,,द्युद्भ्यो लुङि ।,द्‍युभ्यः ५/३ लुङि ७/१
13092,3293,2347,,,वृद्भ्यः स्यसनोः ।,वृद्‍भ्यः ५/३ स्यसनोः ७/२
13093,3011,2351,,,लुटि च कॢपः ।,लुटि ७/१ च ०/० कॢपः ५/१
14001,457,232,अधिकारः,,आ कडारादेका संज्ञा ।,आ ०/० कडारात् ५/१ एका १/१ संज्ञा १/१
14002,3178,175,परिभाषा,,विप्रतिषेधे परं कार्यम् ।,विप्रतिषेधे ७/१ परम् १/१ कार्यम् १/१
14003,2880,266,संज्ञा,नदी,यू स्त्र्याख्यौ नदी ।,यू सुपां (सुलुक्० (७.१.३९) इत्येन विभक्तिर्लुप्यतेऽत्र।) स्त्र्याख्यौ १/२ नदी १/१
14004,2232,303,संज्ञा,नदी,नेयङुवङ्स्थानावस्त्री ।,न ०/० इयङुवङ्स्थानौ १/२ अस्त्री १/२
14005,3127,304,संज्ञा,नदी,वाऽऽमि ।,वा ०/० आमि ७/१
14006,1373,293,संज्ञा,नदी,ङिति ह्रस्वश्च ।,ङिति ७/१ ह्रस्वश् १/१ च ०/०
14007,3437,243,संज्ञा,घि,शेषो घ्यसखि ।,शेषः १/१ घि १/१ असखि १/१
14008,2269,257,संज्ञा,घि,पतिः समास एव ।,पतिः १/१ समासे ७/१ एव ०/०
14009,3489,3389,संज्ञा,घि,षष्ठीयुक्तश्छन्दसि वा ।,षष्ठीयुक्तः १/१ छन्दसि ७/१ वा ०/०
14010,3967,31,संज्ञा,लघु,ह्रस्वं लघु ।,ह्रस्वम् १/१ लघु १/१
14011,3562,32,संज्ञा,गुरु,संयोगे गुरु ।,संयोगे ७/१ गुरु १/१
14012,1879,33,संज्ञा,गुरु,दीर्घं च ।,दीर्घम् १/१ च ०/०
14013,2846,199,संज्ञा,अङ्गम्‌,यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम् ।,यस्मात् ५/१ प्रत्ययविधिः १/१ तदादि १/१ प्रत्यये ७/१ अङ्गम् १/१
14014,3763,29,संज्ञा,पदम्‌,सुप्तिङन्तं पदम् ।,सुप्तिङन्तम् १/१ पदम् १/१
